c2,c0,729,129,229,ff9a,
583053,2900057,1698822,1074657,606908,18257,
193979,998749,530875,319658,199836,14433,
843049,4243682,2366851,1471947,862445,24037,
656498,3223637,1860119,1171570,664691,18124,
377084,1911958,947258,573647,352090,14889,
1353116,6826077,4069262,2558135,1467629,61371,
223810,1194213,721473,432631,278743,15789,
315787,1493421,907090,590574,313020,7137,
39769,191013,115731,68846,44036,8699,
15477,64465,38320,23855,13377,4909,
3078747,14635987,7395310,4832252,2498195,51360,
13303,56388,37607,23327,13073,5106,
67057,330263,200069,119742,75148,8532,
185560,862780,478880,290030,169854,12543,
13394,56838,35975,22283,12550,5073,
6887,26596,18027,11077,6801,4797,
54048,244915,123554,83449,46126,8591,
3523566,14328932,5076142,3341667,1625560,32730,
22790,101753,67931,43179,22693,11390,
13629,57917,33496,21005,11429,5265,
26654,106445,45490,29966,14829,5245,
28324,126515,81671,50911,28276,10254,
297361,1203556,461356,300426,154006,7774,
89071,406439,228666,139420,82454,6236,
45586,189752,92360,59482,30705,7283,
5447,27880,23065,13171,9460,6421,
13967,60193,33670,20925,11587,5687,
87016,345305,116171,78311,36044,4406,
59885,241356,99387,65184,32301,5607,
47786,192009,79870,52062,26102,4680,
392085,1549472,512826,347756,157288,7501,
115830,464285,174712,115062,56905,5429,
322287,1311861,479571,313503,157936,5463,
87790,399941,225798,137476,81521,5061,
15824,69220,45606,27807,16568,6947,
270104,1179984,477448,338314,135115,10203,
14871,64209,36717,22862,12569,6402,
43741,193545,129238,81649,43218,12355,
1098275,5401570,3208212,2004682,1158873,26687,
13459,57158,37548,23370,13002,5702,
2174926,8726075,2841243,1902609,895463,14002,
13301,56364,33530,20889,11538,4637,
43406,203394,117389,69557,45219,4432,
87839,400221,221495,134676,80100,6045,
21322,94671,59018,37171,20125,5286,
247946,1217407,775407,497195,269691,34206,
806846,3890115,2331404,1467693,827918,31593,
577697,2861666,1666352,1056455,593021,20502,
753309,3734144,2144996,1364582,757209,99000,
745904,3781421,2243030,1516486,702476,159502,
2526281,11864161,4991986,3130546,1795123,101770,
3143760,14441746,5560738,3529440,1951840,174938,
2013040,9426521,5210708,3610514,1541188,118824,
110541,519896,313474,188467,116145,20538,
13969,59387,36719,22907,12602,13669,
44032,189619,93349,58447,32785,26579,
16317,71767,46030,28216,16495,7953,
8688,44857,30882,18223,11710,6994,
938139,4050415,1909570,1210465,652288,67707,
13459,57158,36139,22548,12431,6707,
2421,12348,12764,7386,5211,4311,
41858,180223,122363,75607,42659,11649,
92154,396869,187330,116879,66754,7416,
87777,399884,232319,141441,83966,7256,
24351,108604,68334,42796,23688,7512,
930897,3686935,1258017,844368,396802,13899,
88944,358752,142358,93384,46350,9102,
117745,465995,172545,115147,55010,6357,
15346,67747,39281,24093,14041,5478,
41129,187932,122924,77844,44711,15896,
3748059,17815460,9302637,6042479,3166177,73052,
16708,72306,49617,31341,16635,8337,
208752,884319,390370,247307,135555,11701,
116731,562419,340506,201734,129170,8248,
14385,60434,37934,23552,13257,4087,
61472,246219,93535,62422,29678,5787,
27966,127462,87056,51624,32785,12674,
15336,77011,52407,31064,20237,7229,
174918,716773,312187,203142,102558,22948,
659775,2977540,1481952,923149,519111,23068,
23906,123610,68833,41949,22556,23125,
13316,56449,33393,20874,11452,4532,
57960,270876,168937,104712,59613,18586,
6021085,29798472,12631758,7852386,4677244,78534,
2882776,14215085,6015573,3735431,2202707,15461,
1804,8453,6050,3832,2099,3584,
14571,62899,34618,21537,11896,8541,
88690,351264,220103,139267,76535,18735,
543197,2746371,1725893,1076248,630525,23087,
